timestamp,query_id,retrieval_mode,top_k_evidence,latency_ms,Precision@5,Recall@10,evidence_ids_returned,gold_evidence_ids,faithfulness_pass,missing_evidence_behavior
2026-03-03T23:05:56.603903+00:00,agent_query,mm,8,8.4,nan,nan,"[""SQLENS An End-to-End Framework for Error (1).pdf::p7"", ""Screenshot 2026-02-12 085908.png"", ""SQLENS An End-to-End Framework for Error (1).pdf::p8"", ""SQLENS An End-to-End Framework for Error (1).pdf::p24"", ""SQLENS An End-to-End Framework for Error (1).pdf::p2"", ""SQLENS An End-to-End Framework for Error (1).pdf::p23"", ""Screenshot 2026-02-12 085920.png"", ""Screenshot 2026-02-12 085933.png""]",[],Yes,Pass
2026-03-04T04:16:58.064203+00:00,agent_query,mm,8,7.38,nan,nan,"[""SQLENS An End-to-End Framework for Error (1).pdf::p7"", ""Screenshot 2026-02-12 085908.png"", ""SQLENS An End-to-End Framework for Error (1).pdf::p8"", ""SQLENS An End-to-End Framework for Error (1).pdf::p24"", ""SQLENS An End-to-End Framework for Error (1).pdf::p2"", ""SQLENS An End-to-End Framework for Error (1).pdf::p23"", ""Screenshot 2026-02-12 085920.png"", ""Screenshot 2026-02-12 085933.png""]",[],Yes,Pass
2026-03-04T04:17:12.019287+00:00,agent_query,mm,8,6.53,nan,nan,"[""SQLENS An End-to-End Framework for Error (1).pdf::p7"", ""Screenshot 2026-02-12 085908.png"", ""SQLENS An End-to-End Framework for Error (1).pdf::p8"", ""SQLENS An End-to-End Framework for Error (1).pdf::p24"", ""SQLENS An End-to-End Framework for Error (1).pdf::p2"", ""SQLENS An End-to-End Framework for Error (1).pdf::p23"", ""Screenshot 2026-02-12 085920.png"", ""Screenshot 2026-02-12 085933.png""]",[],Yes,Pass
2026-03-04T04:17:33.872863+00:00,agent_query,mm,8,5.91,nan,nan,"[""SQLENS An End-to-End Framework for Error (1).pdf::p7"", ""Screenshot 2026-02-12 085908.png"", ""SQLENS An End-to-End Framework for Error (1).pdf::p8"", ""SQLENS An End-to-End Framework for Error (1).pdf::p24"", ""SQLENS An End-to-End Framework for Error (1).pdf::p2"", ""SQLENS An End-to-End Framework for Error (1).pdf::p23"", ""Screenshot 2026-02-12 085920.png"", ""Screenshot 2026-02-12 085933.png""]",[],Yes,Pass
2026-03-04T04:23:59.959746+00:00,agent_query,mm,8,2.08,nan,nan,"[""SQLENS An End-to-End Framework for Error (1).pdf::p7"", ""Screenshot 2026-02-12 085908.png"", ""SQLENS An End-to-End Framework for Error (1).pdf::p8"", ""SQLENS An End-to-End Framework for Error (1).pdf::p24"", ""SQLENS An End-to-End Framework for Error (1).pdf::p2"", ""SQLENS An End-to-End Framework for Error (1).pdf::p23"", ""Screenshot 2026-02-12 085920.png"", ""Screenshot 2026-02-12 085933.png""]",[],Yes,Pass
2026-04-03T23:09:54.587773+00:00,test_001,mm,8,15392.48,nan,nan,[],[],Yes,Pass
2026-04-03T23:17:51.443969+00:00,test_002,mm,8,14391.79,nan,nan,[],[],Yes,Pass
2026-04-03T23:19:37.301874+00:00,test_002,mm,8,14657.96,nan,nan,[],[],Yes,Pass
